time_index,freq_bin,power_dB,PU_Presence,PU_Signal_Strength,PU_bandwidth,PU_burst_duration,PU_drift_type,spectral_entropy,Frequency_Band,SU1_cov_flat,SU2_cov_flat,SU3_cov_flat,SU1_temporal_cov,SU2_temporal_cov,SU3_temporal_cov
44,24,-56.41496578,1,-56.41496578,8,Medium,Frequency drift,1.031,2400,"[ 2.65643084e-06  2.33027977e-07  2.33027977e-07  2.65643084e-06
  0.00000000e+00 -6.34681114e-08  6.34681114e-08  0.00000000e+00]","[ 3.02397914e-06  2.65270125e-07  2.65270125e-07  3.02397914e-06
  0.00000000e+00 -7.22496676e-08  7.22496676e-08  0.00000000e+00]","[ 3.31411503e-06  2.90721486e-07  2.90721486e-07  3.31411503e-06
  0.00000000e+00 -7.91816669e-08  7.91816669e-08  0.00000000e+00]","[array([ 2.65643084e-06,  2.33027977e-07,  2.33027977e-07,  2.65643084e-06,
        0.00000000e+00, -6.34681114e-08,  6.34681114e-08,  0.00000000e+00]), array([ 2.65643084e-06,  2.33027977e-07,  2.33027977e-07,  2.65643084e-06,
        0.00000000e+00, -6.34681114e-08,  6.34681114e-08,  0.00000000e+00]), array([ 2.65643084e-06,  2.33027977e-07,  2.33027977e-07,  2.65643084e-06,
        0.00000000e+00, -6.34681114e-08,  6.34681114e-08,  0.00000000e+00]), array([ 2.65643084e-06,  2.33027977e-07,  2.33027977e-07,  2.65643084e-06,
        0.00000000e+00, -6.34681114e-08,  6.34681114e-08,  0.00000000e+00])]","[array([ 3.02397914e-06,  2.65270125e-07,  2.65270125e-07,  3.02397914e-06,
        0.00000000e+00, -7.22496676e-08,  7.22496676e-08,  0.00000000e+00]), array([ 3.02397914e-06,  2.65270125e-07,  2.65270125e-07,  3.02397914e-06,
        0.00000000e+00, -7.22496676e-08,  7.22496676e-08,  0.00000000e+00]), array([ 3.02397914e-06,  2.65270125e-07,  2.65270125e-07,  3.02397914e-06,
        0.00000000e+00, -7.22496676e-08,  7.22496676e-08,  0.00000000e+00]), array([ 3.02397914e-06,  2.65270125e-07,  2.65270125e-07,  3.02397914e-06,
        0.00000000e+00, -7.22496676e-08,  7.22496676e-08,  0.00000000e+00])]","[array([ 3.31411503e-06,  2.90721486e-07,  2.90721486e-07,  3.31411503e-06,
        0.00000000e+00, -7.91816669e-08,  7.91816669e-08,  0.00000000e+00]), array([ 3.31411503e-06,  2.90721486e-07,  2.90721486e-07,  3.31411503e-06,
        0.00000000e+00, -7.91816669e-08,  7.91816669e-08,  0.00000000e+00]), array([ 3.31411503e-06,  2.90721486e-07,  2.90721486e-07,  3.31411503e-06,
        0.00000000e+00, -7.91816669e-08,  7.91816669e-08,  0.00000000e+00]), array([ 3.31411503e-06,  2.90721486e-07,  2.90721486e-07,  3.31411503e-06,
        0.00000000e+00, -7.91816669e-08,  7.91816669e-08,  0.00000000e+00])]"
45,50,-59.09358798,1,-59.09358798,14,Medium,Frequency drift,1.074,5000,"[ 1.97172450e-06  1.72964025e-07  1.72964025e-07  1.97172450e-06
  0.00000000e+00 -4.71089359e-08  4.71089359e-08  0.00000000e+00]","[ 1.87760036e-06  1.64707248e-07  1.64707248e-07  1.87760036e-06
  0.00000000e+00 -4.48600984e-08  4.48600984e-08  0.00000000e+00]","[ 1.63737194e-06  1.43633881e-07  1.43633881e-07  1.63737194e-06
  0.00000000e+00 -3.91205008e-08  3.91205008e-08  0.00000000e+00]","[array([ 1.97172450e-06,  1.72964025e-07,  1.72964025e-07,  1.97172450e-06,
        0.00000000e+00, -4.71089359e-08,  4.71089359e-08,  0.00000000e+00]), array([ 1.97172450e-06,  1.72964025e-07,  1.72964025e-07,  1.97172450e-06,
        0.00000000e+00, -4.71089359e-08,  4.71089359e-08,  0.00000000e+00]), array([ 1.97172450e-06,  1.72964025e-07,  1.72964025e-07,  1.97172450e-06,
        0.00000000e+00, -4.71089359e-08,  4.71089359e-08,  0.00000000e+00]), array([ 1.97172450e-06,  1.72964025e-07,  1.72964025e-07,  1.97172450e-06,
        0.00000000e+00, -4.71089359e-08,  4.71089359e-08,  0.00000000e+00])]","[array([ 1.87760036e-06,  1.64707248e-07,  1.64707248e-07,  1.87760036e-06,
        0.00000000e+00, -4.48600984e-08,  4.48600984e-08,  0.00000000e+00]), array([ 1.87760036e-06,  1.64707248e-07,  1.64707248e-07,  1.87760036e-06,
        0.00000000e+00, -4.48600984e-08,  4.48600984e-08,  0.00000000e+00]), array([ 1.87760036e-06,  1.64707248e-07,  1.64707248e-07,  1.87760036e-06,
        0.00000000e+00, -4.48600984e-08,  4.48600984e-08,  0.00000000e+00]), array([ 1.87760036e-06,  1.64707248e-07,  1.64707248e-07,  1.87760036e-06,
        0.00000000e+00, -4.48600984e-08,  4.48600984e-08,  0.00000000e+00])]","[array([ 1.63737194e-06,  1.43633881e-07,  1.43633881e-07,  1.63737194e-06,
        0.00000000e+00, -3.91205008e-08,  3.91205008e-08,  0.00000000e+00]), array([ 1.63737194e-06,  1.43633881e-07,  1.43633881e-07,  1.63737194e-06,
        0.00000000e+00, -3.91205008e-08,  3.91205008e-08,  0.00000000e+00]), array([ 1.63737194e-06,  1.43633881e-07,  1.43633881e-07,  1.63737194e-06,
        0.00000000e+00, -3.91205008e-08,  3.91205008e-08,  0.00000000e+00]), array([ 1.63737194e-06,  1.43633881e-07,  1.43633881e-07,  1.63737194e-06,
        0.00000000e+00, -3.91205008e-08,  3.91205008e-08,  0.00000000e+00])]"
46,35,-72.0918641,1,-72.0918641,12,Medium,None,1.084,3500,"[ 9.35665282e-08  8.20786238e-09  8.20786238e-09  9.35665282e-08
  0.00000000e+00 -2.23551494e-09  2.23551494e-09  0.00000000e+00]","[ 9.28736950e-08  8.14708552e-09  8.14708552e-09  9.28736950e-08
  0.00000000e+00 -2.21896160e-09  2.21896160e-09  0.00000000e+00]","[ 8.26768497e-08  7.25259574e-09  7.25259574e-09  8.26768497e-08
  0.00000000e+00 -1.97533601e-09  1.97533601e-09  0.00000000e+00]","[array([ 9.35665282e-08,  8.20786238e-09,  8.20786238e-09,  9.35665282e-08,
        0.00000000e+00, -2.23551494e-09,  2.23551494e-09,  0.00000000e+00]), array([ 9.35665282e-08,  8.20786238e-09,  8.20786238e-09,  9.35665282e-08,
        0.00000000e+00, -2.23551494e-09,  2.23551494e-09,  0.00000000e+00]), array([ 9.35665282e-08,  8.20786238e-09,  8.20786238e-09,  9.35665282e-08,
        0.00000000e+00, -2.23551494e-09,  2.23551494e-09,  0.00000000e+00]), array([ 9.35665282e-08,  8.20786238e-09,  8.20786238e-09,  9.35665282e-08,
        0.00000000e+00, -2.23551494e-09,  2.23551494e-09,  0.00000000e+00])]","[array([ 9.28736950e-08,  8.14708552e-09,  8.14708552e-09,  9.28736950e-08,
        0.00000000e+00, -2.21896160e-09,  2.21896160e-09,  0.00000000e+00]), array([ 9.28736950e-08,  8.14708552e-09,  8.14708552e-09,  9.28736950e-08,
        0.00000000e+00, -2.21896160e-09,  2.21896160e-09,  0.00000000e+00]), array([ 9.28736950e-08,  8.14708552e-09,  8.14708552e-09,  9.28736950e-08,
        0.00000000e+00, -2.21896160e-09,  2.21896160e-09,  0.00000000e+00]), array([ 9.28736950e-08,  8.14708552e-09,  8.14708552e-09,  9.28736950e-08,
        0.00000000e+00, -2.21896160e-09,  2.21896160e-09,  0.00000000e+00])]","[array([ 8.26768497e-08,  7.25259574e-09,  7.25259574e-09,  8.26768497e-08,
        0.00000000e+00, -1.97533601e-09,  1.97533601e-09,  0.00000000e+00]), array([ 8.26768497e-08,  7.25259574e-09,  7.25259574e-09,  8.26768497e-08,
        0.00000000e+00, -1.97533601e-09,  1.97533601e-09,  0.00000000e+00]), array([ 8.26768497e-08,  7.25259574e-09,  7.25259574e-09,  8.26768497e-08,
        0.00000000e+00, -1.97533601e-09,  1.97533601e-09,  0.00000000e+00]), array([ 8.26768497e-08,  7.25259574e-09,  7.25259574e-09,  8.26768497e-08,
        0.00000000e+00, -1.97533601e-09,  1.97533601e-09,  0.00000000e+00])]"
47,50,-84.32212039,1,-84.32212039,3,Short,Frequency drift,1.044,5000,"[ 4.20774396e-09  3.69112588e-10  3.69112588e-10  4.20774396e-09
  0.00000000e+00 -1.00532473e-10  1.00532473e-10  0.00000000e+00]","[ 4.93701878e-09  4.33086184e-10  4.33086184e-10  4.93701878e-09
  0.00000000e+00 -1.17956490e-10  1.17956490e-10  0.00000000e+00]","[ 4.74153503e-09  4.15937919e-10  4.15937919e-10  4.74153503e-09
  0.00000000e+00 -1.13285943e-10  1.13285943e-10  0.00000000e+00]","[array([ 4.20774396e-09,  3.69112588e-10,  3.69112588e-10,  4.20774396e-09,
        0.00000000e+00, -1.00532473e-10,  1.00532473e-10,  0.00000000e+00]), array([ 4.20774396e-09,  3.69112588e-10,  3.69112588e-10,  4.20774396e-09,
        0.00000000e+00, -1.00532473e-10,  1.00532473e-10,  0.00000000e+00]), array([ 4.20774396e-09,  3.69112588e-10,  3.69112588e-10,  4.20774396e-09,
        0.00000000e+00, -1.00532473e-10,  1.00532473e-10,  0.00000000e+00]), array([ 4.20774396e-09,  3.69112588e-10,  3.69112588e-10,  4.20774396e-09,
        0.00000000e+00, -1.00532473e-10,  1.00532473e-10,  0.00000000e+00])]","[array([ 4.93701878e-09,  4.33086184e-10,  4.33086184e-10,  4.93701878e-09,
        0.00000000e+00, -1.17956490e-10,  1.17956490e-10,  0.00000000e+00]), array([ 4.93701878e-09,  4.33086184e-10,  4.33086184e-10,  4.93701878e-09,
        0.00000000e+00, -1.17956490e-10,  1.17956490e-10,  0.00000000e+00]), array([ 4.93701878e-09,  4.33086184e-10,  4.33086184e-10,  4.93701878e-09,
        0.00000000e+00, -1.17956490e-10,  1.17956490e-10,  0.00000000e+00]), array([ 4.93701878e-09,  4.33086184e-10,  4.33086184e-10,  4.93701878e-09,
        0.00000000e+00, -1.17956490e-10,  1.17956490e-10,  0.00000000e+00])]","[array([ 4.74153503e-09,  4.15937919e-10,  4.15937919e-10,  4.74153503e-09,
        0.00000000e+00, -1.13285943e-10,  1.13285943e-10,  0.00000000e+00]), array([ 4.74153503e-09,  4.15937919e-10,  4.15937919e-10,  4.74153503e-09,
        0.00000000e+00, -1.13285943e-10,  1.13285943e-10,  0.00000000e+00]), array([ 4.74153503e-09,  4.15937919e-10,  4.15937919e-10,  4.74153503e-09,
        0.00000000e+00, -1.13285943e-10,  1.13285943e-10,  0.00000000e+00]), array([ 4.74153503e-09,  4.15937919e-10,  4.15937919e-10,  4.74153503e-09,
        0.00000000e+00, -1.13285943e-10,  1.13285943e-10,  0.00000000e+00])]"
48,50,-56.42134022,0,-56.42134022,10,Medium,Frequency drift,1.078,5000,"[ 3.43183121e-06  3.01047809e-07  3.01047809e-07  3.43183121e-06
  0.00000000e+00 -8.19941714e-08  8.19941714e-08  0.00000000e+00]","[ 2.94513362e-06  2.58353622e-07  2.58353622e-07  2.94513362e-06
  0.00000000e+00 -7.03658706e-08  7.03658706e-08  0.00000000e+00]","[ 3.23393857e-06  2.83688229e-07  2.83688229e-07  3.23393857e-06
  0.00000000e+00 -7.72660708e-08  7.72660708e-08  0.00000000e+00]","[array([ 3.43183121e-06,  3.01047809e-07,  3.01047809e-07,  3.43183121e-06,
        0.00000000e+00, -8.19941714e-08,  8.19941714e-08,  0.00000000e+00]), array([ 3.43183121e-06,  3.01047809e-07,  3.01047809e-07,  3.43183121e-06,
        0.00000000e+00, -8.19941714e-08,  8.19941714e-08,  0.00000000e+00]), array([ 3.43183121e-06,  3.01047809e-07,  3.01047809e-07,  3.43183121e-06,
        0.00000000e+00, -8.19941714e-08,  8.19941714e-08,  0.00000000e+00]), array([ 3.43183121e-06,  3.01047809e-07,  3.01047809e-07,  3.43183121e-06,
        0.00000000e+00, -8.19941714e-08,  8.19941714e-08,  0.00000000e+00])]","[array([ 2.94513362e-06,  2.58353622e-07,  2.58353622e-07,  2.94513362e-06,
        0.00000000e+00, -7.03658706e-08,  7.03658706e-08,  0.00000000e+00]), array([ 2.94513362e-06,  2.58353622e-07,  2.58353622e-07,  2.94513362e-06,
        0.00000000e+00, -7.03658706e-08,  7.03658706e-08,  0.00000000e+00]), array([ 2.94513362e-06,  2.58353622e-07,  2.58353622e-07,  2.94513362e-06,
        0.00000000e+00, -7.03658706e-08,  7.03658706e-08,  0.00000000e+00]), array([ 2.94513362e-06,  2.58353622e-07,  2.58353622e-07,  2.94513362e-06,
        0.00000000e+00, -7.03658706e-08,  7.03658706e-08,  0.00000000e+00])]","[array([ 3.23393857e-06,  2.83688229e-07,  2.83688229e-07,  3.23393857e-06,
        0.00000000e+00, -7.72660708e-08,  7.72660708e-08,  0.00000000e+00]), array([ 3.23393857e-06,  2.83688229e-07,  2.83688229e-07,  3.23393857e-06,
        0.00000000e+00, -7.72660708e-08,  7.72660708e-08,  0.00000000e+00]), array([ 3.23393857e-06,  2.83688229e-07,  2.83688229e-07,  3.23393857e-06,
        0.00000000e+00, -7.72660708e-08,  7.72660708e-08,  0.00000000e+00]), array([ 3.23393857e-06,  2.83688229e-07,  2.83688229e-07,  3.23393857e-06,
        0.00000000e+00, -7.72660708e-08,  7.72660708e-08,  0.00000000e+00])]"
49,24,-63.98461495,1,-63.98461495,12,Medium,Frequency drift,1.071,2400,"[ 5.61853809e-07  4.92870563e-08  4.92870563e-08  5.61853809e-07
  0.00000000e+00 -1.34239520e-08  1.34239520e-08  0.00000000e+00]","[ 5.27816823e-07  4.63012568e-08  4.63012568e-08  5.27816823e-07
  0.00000000e+00 -1.26107318e-08  1.26107318e-08  0.00000000e+00]","[ 6.36942297e-07  5.58739842e-08  5.58739842e-08  6.36942297e-07
  0.00000000e+00 -1.52179850e-08  1.52179850e-08  0.00000000e+00]","[array([ 5.61853809e-07,  4.92870563e-08,  4.92870563e-08,  5.61853809e-07,
        0.00000000e+00, -1.34239520e-08,  1.34239520e-08,  0.00000000e+00]), array([ 5.61853809e-07,  4.92870563e-08,  4.92870563e-08,  5.61853809e-07,
        0.00000000e+00, -1.34239520e-08,  1.34239520e-08,  0.00000000e+00]), array([ 5.61853809e-07,  4.92870563e-08,  4.92870563e-08,  5.61853809e-07,
        0.00000000e+00, -1.34239520e-08,  1.34239520e-08,  0.00000000e+00]), array([ 5.61853809e-07,  4.92870563e-08,  4.92870563e-08,  5.61853809e-07,
        0.00000000e+00, -1.34239520e-08,  1.34239520e-08,  0.00000000e+00])]","[array([ 5.27816823e-07,  4.63012568e-08,  4.63012568e-08,  5.27816823e-07,
        0.00000000e+00, -1.26107318e-08,  1.26107318e-08,  0.00000000e+00]), array([ 5.27816823e-07,  4.63012568e-08,  4.63012568e-08,  5.27816823e-07,
        0.00000000e+00, -1.26107318e-08,  1.26107318e-08,  0.00000000e+00]), array([ 5.27816823e-07,  4.63012568e-08,  4.63012568e-08,  5.27816823e-07,
        0.00000000e+00, -1.26107318e-08,  1.26107318e-08,  0.00000000e+00]), array([ 5.27816823e-07,  4.63012568e-08,  4.63012568e-08,  5.27816823e-07,
        0.00000000e+00, -1.26107318e-08,  1.26107318e-08,  0.00000000e+00])]","[array([ 6.36942297e-07,  5.58739842e-08,  5.58739842e-08,  6.36942297e-07,
        0.00000000e+00, -1.52179850e-08,  1.52179850e-08,  0.00000000e+00]), array([ 6.36942297e-07,  5.58739842e-08,  5.58739842e-08,  6.36942297e-07,
        0.00000000e+00, -1.52179850e-08,  1.52179850e-08,  0.00000000e+00]), array([ 6.36942297e-07,  5.58739842e-08,  5.58739842e-08,  6.36942297e-07,
        0.00000000e+00, -1.52179850e-08,  1.52179850e-08,  0.00000000e+00]), array([ 6.36942297e-07,  5.58739842e-08,  5.58739842e-08,  6.36942297e-07,
        0.00000000e+00, -1.52179850e-08,  1.52179850e-08,  0.00000000e+00])]"
50,18,-51.38408041,1,-51.38408041,5,Long,None,1.078,1800,"[ 8.33123889e-06  7.30834665e-07  7.30834665e-07  8.33123889e-06
  0.00000000e+00 -1.99052048e-07  1.99052048e-07  0.00000000e+00]","[ 9.05678588e-06  7.94481249e-07  7.94481249e-07  9.05678588e-06
  0.00000000e+00 -2.16386998e-07  2.16386998e-07  0.00000000e+00]","[ 8.80397881e-06  7.72304454e-07  7.72304454e-07  8.80397881e-06
  0.00000000e+00 -2.10346868e-07  2.10346868e-07  0.00000000e+00]","[array([ 8.33123889e-06,  7.30834665e-07,  7.30834665e-07,  8.33123889e-06,
        0.00000000e+00, -1.99052048e-07,  1.99052048e-07,  0.00000000e+00]), array([ 8.33123889e-06,  7.30834665e-07,  7.30834665e-07,  8.33123889e-06,
        0.00000000e+00, -1.99052048e-07,  1.99052048e-07,  0.00000000e+00]), array([ 8.33123889e-06,  7.30834665e-07,  7.30834665e-07,  8.33123889e-06,
        0.00000000e+00, -1.99052048e-07,  1.99052048e-07,  0.00000000e+00]), array([ 8.33123889e-06,  7.30834665e-07,  7.30834665e-07,  8.33123889e-06,
        0.00000000e+00, -1.99052048e-07,  1.99052048e-07,  0.00000000e+00])]","[array([ 9.05678588e-06,  7.94481249e-07,  7.94481249e-07,  9.05678588e-06,
        0.00000000e+00, -2.16386998e-07,  2.16386998e-07,  0.00000000e+00]), array([ 9.05678588e-06,  7.94481249e-07,  7.94481249e-07,  9.05678588e-06,
        0.00000000e+00, -2.16386998e-07,  2.16386998e-07,  0.00000000e+00]), array([ 9.05678588e-06,  7.94481249e-07,  7.94481249e-07,  9.05678588e-06,
        0.00000000e+00, -2.16386998e-07,  2.16386998e-07,  0.00000000e+00]), array([ 9.05678588e-06,  7.94481249e-07,  7.94481249e-07,  9.05678588e-06,
        0.00000000e+00, -2.16386998e-07,  2.16386998e-07,  0.00000000e+00])]","[array([ 8.80397881e-06,  7.72304454e-07,  7.72304454e-07,  8.80397881e-06,
        0.00000000e+00, -2.10346868e-07,  2.10346868e-07,  0.00000000e+00]), array([ 8.80397881e-06,  7.72304454e-07,  7.72304454e-07,  8.80397881e-06,
        0.00000000e+00, -2.10346868e-07,  2.10346868e-07,  0.00000000e+00]), array([ 8.80397881e-06,  7.72304454e-07,  7.72304454e-07,  8.80397881e-06,
        0.00000000e+00, -2.10346868e-07,  2.10346868e-07,  0.00000000e+00]), array([ 8.80397881e-06,  7.72304454e-07,  7.72304454e-07,  8.80397881e-06,
        0.00000000e+00, -2.10346868e-07,  2.10346868e-07,  0.00000000e+00])]"
51,18,-63.99182494,0,-63.99182494,10,Medium,Bandwidth switch,1.014,1800,"[ 5.40944302e-07  4.74528282e-08  4.74528282e-08  5.40944302e-07
  0.00000000e+00 -1.29243769e-08  1.29243769e-08  0.00000000e+00]","[ 4.83787893e-07  4.24389418e-08  4.24389418e-08  4.83787893e-07
  0.00000000e+00 -1.15587816e-08  1.15587816e-08  0.00000000e+00]","[ 6.57177236e-07  5.76490377e-08  5.76490377e-08  6.57177236e-07
  0.00000000e+00 -1.57014432e-08  1.57014432e-08  0.00000000e+00]","[array([ 5.40944302e-07,  4.74528282e-08,  4.74528282e-08,  5.40944302e-07,
        0.00000000e+00, -1.29243769e-08,  1.29243769e-08,  0.00000000e+00]), array([ 5.40944302e-07,  4.74528282e-08,  4.74528282e-08,  5.40944302e-07,
        0.00000000e+00, -1.29243769e-08,  1.29243769e-08,  0.00000000e+00]), array([ 5.40944302e-07,  4.74528282e-08,  4.74528282e-08,  5.40944302e-07,
        0.00000000e+00, -1.29243769e-08,  1.29243769e-08,  0.00000000e+00]), array([ 5.40944302e-07,  4.74528282e-08,  4.74528282e-08,  5.40944302e-07,
        0.00000000e+00, -1.29243769e-08,  1.29243769e-08,  0.00000000e+00])]","[array([ 4.83787893e-07,  4.24389418e-08,  4.24389418e-08,  4.83787893e-07,
        0.00000000e+00, -1.15587816e-08,  1.15587816e-08,  0.00000000e+00]), array([ 4.83787893e-07,  4.24389418e-08,  4.24389418e-08,  4.83787893e-07,
        0.00000000e+00, -1.15587816e-08,  1.15587816e-08,  0.00000000e+00]), array([ 4.83787893e-07,  4.24389418e-08,  4.24389418e-08,  4.83787893e-07,
        0.00000000e+00, -1.15587816e-08,  1.15587816e-08,  0.00000000e+00]), array([ 4.83787893e-07,  4.24389418e-08,  4.24389418e-08,  4.83787893e-07,
        0.00000000e+00, -1.15587816e-08,  1.15587816e-08,  0.00000000e+00])]","[array([ 6.57177236e-07,  5.76490377e-08,  5.76490377e-08,  6.57177236e-07,
        0.00000000e+00, -1.57014432e-08,  1.57014432e-08,  0.00000000e+00]), array([ 6.57177236e-07,  5.76490377e-08,  5.76490377e-08,  6.57177236e-07,
        0.00000000e+00, -1.57014432e-08,  1.57014432e-08,  0.00000000e+00]), array([ 6.57177236e-07,  5.76490377e-08,  5.76490377e-08,  6.57177236e-07,
        0.00000000e+00, -1.57014432e-08,  1.57014432e-08,  0.00000000e+00]), array([ 6.57177236e-07,  5.76490377e-08,  5.76490377e-08,  6.57177236e-07,
        0.00000000e+00, -1.57014432e-08,  1.57014432e-08,  0.00000000e+00])]"
52,24,-47.39092498,1,-47.39092498,14,Long,None,1.091,2400,"[ 2.50121140e-05  2.19411785e-06  2.19411785e-06  2.50121140e-05
  0.00000000e+00 -5.97595697e-07  5.97595697e-07  0.00000000e+00]","[ 2.49944277e-05  2.19256637e-06  2.19256637e-06  2.49944277e-05
  0.00000000e+00 -5.97173132e-07  5.97173132e-07  0.00000000e+00]","[ 2.72422620e-05  2.38975136e-06  2.38975136e-06  2.72422620e-05
  0.00000000e+00 -6.50878953e-07  6.50878953e-07  0.00000000e+00]","[array([ 2.50121140e-05,  2.19411785e-06,  2.19411785e-06,  2.50121140e-05,
        0.00000000e+00, -5.97595697e-07,  5.97595697e-07,  0.00000000e+00]), array([ 2.50121140e-05,  2.19411785e-06,  2.19411785e-06,  2.50121140e-05,
        0.00000000e+00, -5.97595697e-07,  5.97595697e-07,  0.00000000e+00]), array([ 2.50121140e-05,  2.19411785e-06,  2.19411785e-06,  2.50121140e-05,
        0.00000000e+00, -5.97595697e-07,  5.97595697e-07,  0.00000000e+00]), array([ 2.50121140e-05,  2.19411785e-06,  2.19411785e-06,  2.50121140e-05,
        0.00000000e+00, -5.97595697e-07,  5.97595697e-07,  0.00000000e+00])]","[array([ 2.49944277e-05,  2.19256637e-06,  2.19256637e-06,  2.49944277e-05,
        0.00000000e+00, -5.97173132e-07,  5.97173132e-07,  0.00000000e+00]), array([ 2.49944277e-05,  2.19256637e-06,  2.19256637e-06,  2.49944277e-05,
        0.00000000e+00, -5.97173132e-07,  5.97173132e-07,  0.00000000e+00]), array([ 2.49944277e-05,  2.19256637e-06,  2.19256637e-06,  2.49944277e-05,
        0.00000000e+00, -5.97173132e-07,  5.97173132e-07,  0.00000000e+00]), array([ 2.49944277e-05,  2.19256637e-06,  2.19256637e-06,  2.49944277e-05,
        0.00000000e+00, -5.97173132e-07,  5.97173132e-07,  0.00000000e+00])]","[array([ 2.72422620e-05,  2.38975136e-06,  2.38975136e-06,  2.72422620e-05,
        0.00000000e+00, -6.50878953e-07,  6.50878953e-07,  0.00000000e+00]), array([ 2.72422620e-05,  2.38975136e-06,  2.38975136e-06,  2.72422620e-05,
        0.00000000e+00, -6.50878953e-07,  6.50878953e-07,  0.00000000e+00]), array([ 2.72422620e-05,  2.38975136e-06,  2.38975136e-06,  2.72422620e-05,
        0.00000000e+00, -6.50878953e-07,  6.50878953e-07,  0.00000000e+00]), array([ 2.72422620e-05,  2.38975136e-06,  2.38975136e-06,  2.72422620e-05,
        0.00000000e+00, -6.50878953e-07,  6.50878953e-07,  0.00000000e+00])]"
53,18,-62.40465806,0,-62.40465806,6,Medium,Bandwidth switch,0.996,1800,"[ 6.84757534e-07  6.00684423e-08  6.00684423e-08  6.84757534e-07
  0.00000000e+00 -1.63603986e-08  1.63603986e-08  0.00000000e+00]","[ 7.17371795e-07  6.29294373e-08  6.29294373e-08  7.17371795e-07
  0.00000000e+00 -1.71396267e-08  1.71396267e-08  0.00000000e+00]","[ 9.06541752e-07  7.95238435e-08  7.95238435e-08  9.06541752e-07
  0.00000000e+00 -2.16593227e-08  2.16593227e-08  0.00000000e+00]","[array([ 6.84757534e-07,  6.00684423e-08,  6.00684423e-08,  6.84757534e-07,
        0.00000000e+00, -1.63603986e-08,  1.63603986e-08,  0.00000000e+00]), array([ 6.84757534e-07,  6.00684423e-08,  6.00684423e-08,  6.84757534e-07,
        0.00000000e+00, -1.63603986e-08,  1.63603986e-08,  0.00000000e+00]), array([ 6.84757534e-07,  6.00684423e-08,  6.00684423e-08,  6.84757534e-07,
        0.00000000e+00, -1.63603986e-08,  1.63603986e-08,  0.00000000e+00]), array([ 6.84757534e-07,  6.00684423e-08,  6.00684423e-08,  6.84757534e-07,
        0.00000000e+00, -1.63603986e-08,  1.63603986e-08,  0.00000000e+00])]","[array([ 7.17371795e-07,  6.29294373e-08,  6.29294373e-08,  7.17371795e-07,
        0.00000000e+00, -1.71396267e-08,  1.71396267e-08,  0.00000000e+00]), array([ 7.17371795e-07,  6.29294373e-08,  6.29294373e-08,  7.17371795e-07,
        0.00000000e+00, -1.71396267e-08,  1.71396267e-08,  0.00000000e+00]), array([ 7.17371795e-07,  6.29294373e-08,  6.29294373e-08,  7.17371795e-07,
        0.00000000e+00, -1.71396267e-08,  1.71396267e-08,  0.00000000e+00]), array([ 7.17371795e-07,  6.29294373e-08,  6.29294373e-08,  7.17371795e-07,
        0.00000000e+00, -1.71396267e-08,  1.71396267e-08,  0.00000000e+00])]","[array([ 9.06541752e-07,  7.95238435e-08,  7.95238435e-08,  9.06541752e-07,
        0.00000000e+00, -2.16593227e-08,  2.16593227e-08,  0.00000000e+00]), array([ 9.06541752e-07,  7.95238435e-08,  7.95238435e-08,  9.06541752e-07,
        0.00000000e+00, -2.16593227e-08,  2.16593227e-08,  0.00000000e+00]), array([ 9.06541752e-07,  7.95238435e-08,  7.95238435e-08,  9.06541752e-07,
        0.00000000e+00, -2.16593227e-08,  2.16593227e-08,  0.00000000e+00]), array([ 9.06541752e-07,  7.95238435e-08,  7.95238435e-08,  9.06541752e-07,
        0.00000000e+00, -2.16593227e-08,  2.16593227e-08,  0.00000000e+00])]"
